instance,row_type,remaining_iters,count,sat_wins,cplex_wins,ties,sat_win_rate,cplex_win_rate,sat_wall_mean,cplex_wall_mean,sat_wall_median,cplex_wall_median,sat_cpu_mean,cplex_cpu_mean,mismatches,threshold,policy,total_hybrid_wall,sat_steps,cplex_steps
u1060,remaining_iters_summary,9,1,0,1,0,0.0,1.0,1.1478601819835603,0.5144556000013836,1.1478601819835603,0.5144556000013836,1.1475360000000023,0.3619190000000003,0,,,,,
u1060,remaining_iters_summary,8,1,0,1,0,0.0,1.0,4.993205184000544,0.7104042430000845,4.993205184000544,0.7104042430000845,4.99269000000001,0.5599520000000098,0,,,,,
u1060,remaining_iters_summary,7,1,0,1,0,0.0,1.0,1.7891392940073274,0.4687010180205107,1.7891392940073274,0.4687010180205107,1.7887829999999951,0.31768800000000397,0,,,,,
u1060,remaining_iters_summary,5,1,0,1,0,0.0,1.0,2.3369409369770437,0.7036908710142598,2.3369409369770437,0.7036908710142598,2.3365620000000007,0.5486060000000066,0,,,,,
u1060,remaining_iters_summary,4,1,1,0,0,1.0,0.0,0.005487519985763356,0.45056797401048243,0.005487519985763356,0.45056797401048243,0.00520700000001284,0.2979919999999936,0,,,,,
u1060,remaining_iters_summary,3,1,1,0,0,1.0,0.0,0.004732629022328183,0.31734368501929566,0.004732629022328183,0.31734368501929566,0.00449899999999559,0.1655939999999987,0,,,,,
u1060,remaining_iters_summary,2,1,0,1,0,0.0,1.0,7.88681164800073,0.6236272350070067,7.88681164800073,0.6236272350070067,7.886265000000009,0.47405300000002626,0,,,,,
u1060,remaining_iters_summary,0,1,0,1,0,0.0,1.0,3.708802042005118,0.5432779469992965,3.708802042005118,0.5432779469992965,3.7081030000000226,0.3921980000000076,0,,,,,
u1060,threshold_simulation,,,,,,,,,,,,,,,0,use SAT if remaining_iters > T else CPLEX,20.744705178018194,16,1
u1060,threshold_simulation,,,,,,,,,,,,,,,1,use SAT if remaining_iters > T else CPLEX,20.744705178018194,16,1
u1060,threshold_simulation,,,,,,,,,,,,,,,2,use SAT if remaining_iters > T else CPLEX,13.48152076502447,15,2
u1060,threshold_simulation,,,,,,,,,,,,,,,3,use SAT if remaining_iters > T else CPLEX,13.794131821021438,14,3
u1060,threshold_simulation,,,,,,,,,,,,,,,4,use SAT if remaining_iters > T else CPLEX,14.239212275046157,13,4
u1060,threshold_simulation,,,,,,,,,,,,,,,5,use SAT if remaining_iters > T else CPLEX,12.605962209083373,12,5
u1060,threshold_simulation,,,,,,,,,,,,,,,6,use SAT if remaining_iters > T else CPLEX,12.605962209083373,12,5
u1060,threshold_simulation,,,,,,,,,,,,,,,7,use SAT if remaining_iters > T else CPLEX,11.285523933096556,11,6
u1060,threshold_simulation,,,,,,,,,,,,,,,8,use SAT if remaining_iters > T else CPLEX,7.002722992096096,10,7
u1060,threshold_simulation,,,,,,,,,,,,,,,9,use SAT if remaining_iters > T else CPLEX,6.3693184101139195,9,8
u1060,threshold_simulation,,,,,,,,,,,,,,,10,use SAT if remaining_iters > T else CPLEX,5.802766377106309,8,9
u1060,threshold_simulation,,,,,,,,,,,,,,,11,use SAT if remaining_iters > T else CPLEX,5.933532361086691,7,10
u1060,threshold_simulation,,,,,,,,,,,,,,,12,use SAT if remaining_iters > T else CPLEX,5.287944560084725,6,11
u1060,threshold_simulation,,,,,,,,,,,,,,,13,use SAT if remaining_iters > T else CPLEX,5.49808856609161,5,12
u1060,threshold_simulation,,,,,,,,,,,,,,,14,use SAT if remaining_iters > T else CPLEX,5.774796334095299,4,13
